Variable,Overall,Cluster 0,Cluster 1,Cluster 2
Event rate,0.607,0.850,0.719,0.543
Age,"30 (16, 40)","21 (12, 32)","39 (26, 49)","29 (14.5, 39)"
Duration,"8.5 (2.66, 24)","7.5 (1.41, 21.2)","39 (11.5, 108)","6.5 (2.33, 15)"
tIgE,"85.2 (31.5, 205)","1.16e+03 (1.02e+03, 1.3e+03)","64.7 (23.2, 124)","74 (27.6, 155)"
SALT,"13.2 (7.5, 24.1)","11.8 (6, 17.5)","52.5 (25.5, 64.5)","11 (6.5, 18.5)"
25(OH)D3,"15 (11.1, 19.4)","14.5 (10.1, 19.6)","14.8 (11.1, 18.1)","15.3 (11.2, 19.8)"
Mutiple=0.0,378 (71.1%),41 (68.3%),67 (75.3%),270 (70.5%)
Mutiple=1.0,154 (28.9%),19 (31.7%),22 (24.7%),113 (29.5%)
Yellow_dot=0.0,363 (68.2%),35 (58.3%),64 (71.9%),264 (68.9%)
Yellow_dot=1.0,169 (31.8%),25 (41.7%),25 (28.1%),119 (31.1%)
Black_dot=0.0,142 (26.7%),15 (25.0%),28 (31.5%),99 (25.8%)
Black_dot=1.0,390 (73.3%),45 (75.0%),61 (68.5%),284 (74.2%)
Excl_mark=0.0,255 (47.9%),23 (38.3%),43 (48.3%),189 (49.3%)
Excl_mark=1.0,277 (52.1%),37 (61.7%),46 (51.7%),194 (50.7%)
Broken_hairs=0.0,244 (45.9%),27 (45.0%),40 (44.9%),177 (46.2%)
Broken_hairs=1.0,288 (54.1%),33 (55.0%),49 (55.1%),206 (53.8%)
Short_lanugo=0.0,283 (53.2%),44 (73.3%),47 (52.8%),192 (50.1%)
Short_lanugo=1.0,249 (46.8%),16 (26.7%),42 (47.2%),191 (49.9%)
Site=1,163 (30.6%),18 (30.0%),34 (38.2%),111 (29.0%)
Site=2,69 (13.0%),7 (11.7%),10 (11.2%),52 (13.6%)
Site=3,146 (27.4%),19 (31.7%),25 (28.1%),102 (26.6%)
Site=4,154 (28.9%),16 (26.7%),20 (22.5%),118 (30.8%)
