num_features,removed_feature,auc_test
33,Baso,0.7916666666666667
32,IgG,0.7916121291448516
31,Sex,0.7911212914485165
30,Eos,0.7905395578824899
29,IgA,0.7910394851657941
28,C4,0.7904668411867366
27,PLT,0.7895669720767888
26,Hb,0.789676047120419
25,TSH,0.7890670447934847
24,IgM,0.7894851657940664
23,Ca,0.7871218731820826
22,Ly,0.7876399796393252
21,Yellow_dot,0.7879308464223386
20,Broken_hairs,0.786658304246655
19,Site_2.0,0.782922484002327
18,Site_1.0,0.7835587550901687
17,Neut,0.7840677719604421
16,FT3,0.7904123036649215
15,FT4,0.7928028650378126
14,ESR,0.7927574171029669
13,Site_3.0,0.7942935573007562
12,WBC,0.7931028214077953
11,C3,0.7937754508435136
10,Black_dot,0.7973022105875509
9,Excl_mark,0.7900668993600931
8,Duration,0.7802865037812682
7,tIgE,0.7682609802210588
6,Short_lanugo,0.7478366783013379
5,Mutiple,0.7223858347876673
4,25(OH)D3,0.7010434845840605
3,SALT,0.6658576934264108
2,,0.6120655177428738
